,Foreign vs. local origin,,,Absolute temperature difference,,,Absolute precipitation difference,,,Size during previous census,,
Response,Estimate,SE,P-value,Estimate,SE,P-value,Estimate,SE,P-value,Estimate,SE,P-value
Lifetime fitness - zero inflation,0.025,0.124,0.84,-0.342,0.033,0,-,-,-,-,-,-
Lifetime fitness - conditional,-0.137,0.135,0.312,-0.122,0.053,0.021,-0.085,0.054,0.112,-,-,-
Germination,-0.024,0.085,0.776,-0.1,0.034,0.003,-,-,-,-,-,-
Size after germination,0.026,0.073,0.721,-0.027,0.026,0.302,-,-,-,-,-,-
Overwinter survival,0.229,0.127,0.072,-0.087,0.032,0.007,-,-,-,0.367,0.033,0
Size after winter,-0.061,0.176,0.728,-0.515,0.095,0,-,-,-,0.748,0.042,0
Fruit count,-0.009,0.155,0.954,-0.112,0.07,0.11,-0.099,0.063,0.115,0.539,0.041,0
Seed production,-0.101,0.134,0.448,-0.064,0.051,0.216,-0.123,0.048,0.01,0.388,0.033,0
