,FST,,,Temp,,,Precip,,,Size,,
Response,Estimate,SE,P-value,Estimate,SE,P-value,Estimate,SE,P-value,Estimate,SE,P-value
Lifetime fitness - zero inflation,0.064,0.03,0.03,-0.117,0.048,0.014,-,-,-,-,-,-
Lifetime fitness - conditional,0.059,0.037,0.108,-0.031,0.055,0.574,0.053,0.082,0.52,-,-,-
Germination,0.111,0.062,0.073,-0.042,0.074,0.571,-,-,-,-,-,-
Size after germination,0.005,0.016,0.77,-0.026,0.02,0.179,-,-,-,-,-,-
Overwinter survival,0.047,0.044,0.286,-0.014,0.06,0.809,-,-,-,0.335,0.037,0
Size after winter,0.072,0.061,0.232,-0.073,0.082,0.376,-,-,-,0.742,0.044,0
Fruit count,0.058,0.034,0.089,-0.093,0.058,0.11,-0.01,0.084,0.905,0.455,0.044,0
Seed production,0.071,0.033,0.031,-0.035,0.055,0.522,0.028,0.077,0.719,0.334,0.035,0
