"model","abs_tave_diff_sep_nov_scaled","abs_tave_diff_midparent_dec_mar_scaled","nov_size_scaled","abs_tave_diff_dec_mar_scaled","abs_tave_diff_midparent_sep_jul_scaled","abs_tave_diff_sep_jul_scaled","abs_ppt_mm_diff_apr_jul_scaled:Estimate","abs_ppt_mm_diff_apr_jul_scaled:Pr(>|z|)","abs_ppt_mm_diff_apr_jul_scaled:Std. Error","abs_ppt_mm_diff_apr_jul_scaled:z value","abs_tave_diff_apr_jul_scaled:Estimate","abs_tave_diff_apr_jul_scaled:Pr(>|z|)","abs_tave_diff_apr_jul_scaled:Std. Error","abs_tave_diff_apr_jul_scaled:z value","fst_wc_scaled:Estimate","fst_wc_scaled:Pr(>|z|)","fst_wc_scaled:Std. Error","fst_wc_scaled:z value","local_foreignlocal:Estimate","local_foreignlocal:Pr(>|z|)","local_foreignlocal:Std. Error","local_foreignlocal:z value","mar_size_scaled:Estimate","mar_size_scaled:Pr(>|z|)","mar_size_scaled:Std. Error","mar_size_scaled:z value","ppt:Estimate","ppt:Pr(>|z|)","ppt:Std. Error","ppt:z value","temp:Estimate","temp:Pr(>|z|)","temp:Std. Error","temp:z value","X.Intercept.:Estimate","X.Intercept.:Pr(>|z|)","X.Intercept.:Std. Error","X.Intercept.:z value"
"marsize.fst.mod.cond",NA,-0.073,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.906,NA,NA,NA
"marsize.fst.mod.cond",NA,0.082,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA
"marsize.fst.mod.cond",NA,0.376,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"marsize.fstonly.mod.cond",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"marsize.fstonly.mod.cond",NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA
"marsize.fstonly.mod.cond",NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.903,NA,NA,NA
"marsize.fstonly.mod.cond",NA,NA,16.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.627
"marsize.fsttemponly.mod.cond",NA,-1.878,16.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28
"marsize.fsttemponly.mod.cond",NA,-0.132,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.904,NA,NA,NA
"marsize.fsttemponly.mod.cond",NA,0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
